payment_id,order_id,gross_amount,razorpay_fee,gst_on_fee,tds,settled_amount,utr,settlement_date,payment_date,method,status
pay_42_0104,order_42_0104,1280,25.60,4.61,0.00,1249.79,PUNB000798423334,2026-08-26,2026-08-24,netbanking,settled
pay_42_0105,order_42_0105,4460,89.20,16.06,0.00,4354.74,PUNB000388187517,2026-08-18,2026-08-14,upi,settled
pay_42_0106,order_42_0106,1920,38.40,6.91,0.00,1874.69,UTIB000711871397,2026-08-11,2026-08-08,netbanking,settled
pay_42_0107,order_42_0107,2220.25,44.40,7.99,0.00,2167.86,UTIB000327761953,2026-08-10,2026-08-06,card,settled
pay_42_0108,order_42_0108,1930,38.60,6.95,0.00,1884.45,ICIC000696776072,2026-08-25,2026-08-23,netbanking,settled
pay_42_0109,order_42_0109,930,18.60,3.35,0.00,908.05,UTIB000696115913,2026-08-18,2026-08-14,upi,settled
pay_42_0110,order_42_0110,2930,58.60,10.55,0.00,2860.85,UTIB000951405188,2026-08-18,2026-08-16,upi,settled
pay_42_0111,order_42_0111,1630,32.60,5.87,0.00,1591.53,ICIC000812921644,2026-08-11,2026-08-08,card,settled
pay_42_0112,order_42_0112,3330,66.60,11.99,0.00,3251.41,PUNB000455184454,2026-08-18,2026-08-14,netbanking,settled
pay_42_0113,order_42_0113,1880,37.60,6.77,0.00,1835.63,HDFC000874473159,2026-08-11,2026-08-08,card,settled
pay_42_0114,order_42_0114,4300,86.00,15.48,0.00,4198.52,SBIN000305665554,2026-08-27,2026-08-25,netbanking,settled
pay_42_0115,order_42_0115,1910,38.20,6.88,0.00,1864.92,PUNB000740799178,2026-08-27,2026-08-25,upi,settled
pay_42_0116,order_42_0116,2010,40.20,7.24,0.00,1962.56,ICIC000115191689,2026-08-10,2026-08-06,netbanking,settled
pay_42_0117,order_42_0117,1900.5,38.01,6.84,0.00,1855.65,ICIC000848846217,2026-08-20,2026-08-18,netbanking,settled
pay_42_0118,order_42_0118,1020,20.40,3.67,0.00,995.93,ICIC000604011128,2026-08-21,2026-08-19,card,settled
pay_42_0119,order_42_0119,1440,28.80,5.18,0.00,1406.02,UTIB000222500131,2026-08-11,2026-08-09,upi,settled
pay_42_0120,order_42_0120,3010.75,60.22,10.84,0.00,2939.69,HDFC000262915636,2026-08-25,2026-08-22,netbanking,settled
pay_42_0121,order_42_0121,930,18.60,3.35,0.00,908.05,PUNB000920814900,2026-08-06,2026-08-04,netbanking,settled
pay_42_0122,order_42_0122,4540,90.80,16.34,0.00,4432.86,PUNB000508427798,2026-08-27,2026-08-25,card,settled
pay_42_0123,order_42_0123,4900,98.00,17.64,0.00,4784.36,ICIC000710561240,2026-08-18,2026-08-14,upi,settled
pay_42_0124,order_42_0124,4280.5,85.61,15.41,0.00,4179.48,SBIN000384161612,2026-08-25,2026-08-21,upi,settled
pay_42_0125,order_42_0125,1720.5,34.41,6.19,0.00,1679.90,HDFC000538642403,2026-08-10,2026-08-06,netbanking,settled
pay_42_0126,order_42_0126,1990.25,39.80,7.16,0.00,1943.29,ICIC000854827139,2026-08-18,2026-08-16,card,settled
pay_42_0127,order_42_0127,860,17.20,3.10,0.00,839.70,ICIC000945923902,2026-08-18,2026-08-16,netbanking,settled
pay_42_0128,order_42_0128,3510,70.20,12.64,0.00,3427.16,SBIN000556489494,2026-08-18,2026-08-16,netbanking,settled
pay_42_0129,order_42_0129,1860,37.20,6.70,0.00,1816.10,HDFC000164035859,2026-08-07,2026-08-05,card,settled
pay_42_0130,order_42_0130,3540,70.80,12.74,0.00,3456.46,PUNB000409893263,2026-08-07,2026-08-05,upi,settled
pay_42_0131,order_42_0131,2890,57.80,10.40,0.00,2821.80,UTIB000392322121,2026-08-07,2026-08-05,netbanking,settled
pay_42_0132,order_42_0132,3560.25,71.20,12.82,0.00,3476.23,ICIC000748232591,2026-08-05,2026-08-03,upi,settled
pay_42_0133,order_42_0133,960,19.20,3.46,0.00,937.34,PUNB000730418447,2026-08-05,2026-08-03,netbanking,settled
pay_42_0134,order_42_0134,4700,94.00,16.92,0.00,4589.08,HDFC000919382051,2026-08-05,2026-08-03,upi,settled
pay_42_0135,order_42_0135,2760,55.20,9.94,0.00,2694.86,SBIN000728492896,2026-08-25,2026-08-21,netbanking,settled
pay_42_0136,order_42_0136,4660,93.20,16.78,0.00,4550.02,HDFC000604669821,2026-08-25,2026-08-21,card,settled
pay_42_0137,order_42_0137,2200,44.00,7.92,0.00,2148.08,HDFC000272684373,2026-08-25,2026-08-21,card,settled
pay_42_0138,order_42_0138,3890,77.80,14.00,0.00,3798.20,PUNB000139403247,2026-08-31,2026-08-27,upi,settled
pay_42_0139,order_42_0139,1090,21.80,3.92,0.00,1064.28,PUNB000985758835,2026-08-17,2026-08-13,netbanking,settled
pay_42_0140,order_42_0140,770.25,15.40,2.77,0.00,752.08,UTIB000771527524,2026-08-24,2026-08-20,upi,settled
pay_42_0141,order_42_0141,1970,39.40,7.09,0.00,1923.51,UTIB000230380269,2026-08-25,2026-08-23,netbanking,settled
pay_42_0142,order_42_0142,2090,41.80,7.52,0.00,2040.68,UTIB000200082623,2026-08-20,2026-08-18,upi,settled
pay_42_0143,order_42_0143,3050,61.00,10.98,0.00,2978.02,PUNB000857429971,2026-08-12,2026-08-10,card,settled
pay_42_0144,order_42_0144,2830,56.60,10.19,0.00,2763.21,SBIN000743576792,2026-08-17,2026-08-13,netbanking,settled
pay_42_0145,order_42_0145,4450,89.00,16.02,0.00,4344.98,ICIC000945805127,2026-08-18,2026-08-14,card,settled
pay_42_0146,order_42_0146,4780,95.60,17.21,0.00,4667.19,UTIB000259553112,2026-08-25,2026-08-22,netbanking,settled
pay_42_0147,order_42_0147,3320,66.40,11.95,0.00,3241.65,UTIB000445505799,2026-08-17,2026-08-13,upi,settled
pay_42_0148,order_42_0148,4070,81.40,14.65,0.00,3973.95,SBIN000932734539,2026-08-17,2026-08-13,upi,settled
pay_42_0149,order_42_0149,4310,86.20,15.52,0.00,4208.28,UTIB000514548900,2026-08-28,2026-08-26,netbanking,settled
pay_42_0150,order_42_0150,3030,60.60,10.91,0.00,2958.49,PUNB000733701411,2026-08-07,2026-08-05,upi,settled
