transaction_date,description,credit_amount,reference_number,value_date
2026-08-20,NEFT-HDFC000200140141-RAZORPAY,732.30,HDFC000200140141,2026-08-20
2026-08-18,IMPS-ICIC000782454310-SETTLEMENT,4598.84,ICIC000782454310,2026-08-18
2026-08-20,NEFT-HDFC000734036506-RAZORPAY,3866.54,HDFC000734036506,2026-08-20
2026-08-04,IMPS-SBIN000994310083-SETTLEMENT,3192.83,SBIN000994310083,2026-08-04
2026-08-28,IMPS-PUNB000940348305-SETTLEMENT,3485.75,PUNB000940348305,2026-08-28
2026-08-17,UPI-SBIN000932734539,3973.95,SBIN000932734539,2026-08-17
2026-08-14,NEFT-UTIB000541417711-RAZORPAY,966.64,UTIB000541417711,2026-08-14
2026-08-18,UPI-ICIC000907214179,4198.52,ICIC000907214179,2026-08-18
2026-08-06,NEFT-UTIB000141580226-RAZORPAY,1816.83,UTIB000141580226,2026-08-06
2026-08-25,UPI-HDFC000345824373,1582.49,HDFC000345824373,2026-08-25
2026-08-18,IMPS-ICIC000710561240-SETTLEMENT,4784.36,ICIC000710561240,2026-08-18
2026-08-11,UPI-SBIN000126226563,2030.91,SBIN000126226563,2026-08-11
2026-08-11,UPI-HDFC000216396351,1376.72,HDFC000216396351,2026-08-11
2026-08-11,IMPS-UTIB000330035022-SETTLEMENT,839.70,UTIB000330035022,2026-08-11
2026-08-21,UPI-ICIC000604011128,995.93,ICIC000604011128,2026-08-21
2026-08-25,UPI-PUNB000700141462,2763.46,PUNB000700141462,2026-08-25
2026-08-12,NEFT-PUNB000966616964-RAZORPAY,4647.66,PUNB000966616964,2026-08-12
2026-08-19,NEFT-UTIB000153921577-RAZORPAY,4501.20,UTIB000153921577,2026-08-19
2026-08-25,IMPS-HDFC000754049436-SETTLEMENT,3837.25,HDFC000754049436,2026-08-25
2026-08-27,NEFT-SBIN000679153816-RAZORPAY,3525.05,SBIN000679153816,2026-08-27
2026-08-19,IMPS-HDFC000771410971-SETTLEMENT,2987.78,HDFC000771410971,2026-08-19
2026-08-26,NEFT-xxxxxxxx59553112-RZP,4666.69,59553112,2026-08-26
2026-08-05,UPI-PUNB000795294275,2626.52,PUNB000795294275,2026-08-05
2026-08-31,IMPS-UTIB000677909930-SETTLEMENT,4745.30,UTIB000677909930,2026-08-31
2026-08-28,IMPS-SBIN000807435606-SETTLEMENT,4452.38,SBIN000807435606,2026-08-28
2026-08-31,NEFT-ICIC000147337803-RAZORPAY,947.11,ICIC000147337803,2026-08-31
2026-08-25,UPI-HDFC000872830248,2138.32,HDFC000872830248,2026-08-25
2026-08-11,NEFT-UTIB000967043303-RAZORPAY,3339.29,UTIB000967043303,2026-08-11
2026-08-19,IMPS-ICIC000694021782-SETTLEMENT,3466.22,ICIC000694021782,2026-08-19
2026-08-04,UPI-ICIC000491541578,3242.14,ICIC000491541578,2026-08-04
2026-08-05,UPI-SBIN000496776692,1806.59,SBIN000496776692,2026-08-05
2026-08-25,NEFT-ICIC000590941149-RAZORPAY,1806.34,ICIC000590941149,2026-08-25
2026-08-11,NEFT-UTIB000162959284-RAZORPAY,2519.11,UTIB000162959284,2026-08-11
2026-08-25,NEFT-UTIB000253407200-RAZORPAY,2978.02,UTIB000253407200,2026-08-25
2026-08-13,NEFT-ICIC000679984033-RAZORPAY,1913.74,ICIC000679984033,2026-08-13
2026-08-18,IMPS-UTIB000389854268-SETTLEMENT,4130.17,UTIB000389854268,2026-08-18
2026-08-25,IMPS-PUNB000488302652-SETTLEMENT,3241.65,PUNB000488302652,2026-08-25
2026-08-18,IMPS-UTIB000361976301-SETTLEMENT,4071.59,UTIB000361976301,2026-08-18
2026-08-05,NEFT-SBIN000533550699-RAZORPAY,4736.27,SBIN000533550699,2026-08-05
2026-08-27,UPI-SBIN000305665554,4198.52,SBIN000305665554,2026-08-27
2026-08-18,NEFT-xxxxxxxx43576792-RZP,2763.71,43576792,2026-08-18
2026-08-07,NEFT-SBIN000808402051-RAZORPAY,4286.40,SBIN000808402051,2026-08-07
2026-08-18,UPI-PUNB000455184454,3251.41,PUNB000455184454,2026-08-18
2026-08-04,NEFT-HDFC000489747629-RAZORPAY,3475.98,HDFC000489747629,2026-08-04
2026-08-28,NEFT-UTIB000961393416-RAZORPAY,605.62,UTIB000961393416,2026-08-28
2026-08-13,IMPS-HDFC000978775497-SETTLEMENT,3798.20,HDFC000978775497,2026-08-13
2026-08-18,NEFT-ICIC000427696198-RAZORPAY,1484.13,ICIC000427696198,2026-08-18
2026-08-28,UPI-UTIB000740389325,1249.79,UTIB000740389325,2026-08-28
2026-08-25,NEFT-ICIC000274648506-RAZORPAY,2382.42,ICIC000274648506,2026-08-25
