order_id,customer_name,amount_charged,order_date,order_status
order_42_0051,Customer_315,4300,2026-08-09,paid
order_42_0052,Customer_600,1540,2026-08-28,paid
order_42_0053,Customer_103,970,2026-08-27,paid
order_42_0054,Customer_822,3760,2026-08-06,paid
order_42_0055,Customer_954,540.75,2026-08-05,paid
order_42_0056,Customer_915,3320.5,2026-08-02,paid
order_42_0057,Customer_898,1570,2026-08-22,paid
order_42_0058,Customer_930,3670,2026-08-08,paid
order_42_0059,Customer_785,620.25,2026-08-26,paid
order_42_0060,Customer_979,1860.75,2026-08-04,paid
order_42_0061,Customer_940,1520,2026-08-15,paid
order_42_0062,Customer_985,620,2026-08-13,paid
order_42_0063,Customer_128,2290,2026-08-13,paid
order_42_0064,Customer_710,1410,2026-08-09,paid
order_42_0065,Customer_218,4230,2026-08-14,paid
order_42_0066,Customer_632,1470,2026-08-23,paid
order_42_0067,Customer_541,4180,2026-08-24,paid
order_42_0068,Customer_407,2190,2026-08-22,paid
order_42_0069,Customer_230,3910,2026-08-13,paid
order_42_0070,Customer_682,3900,2026-08-22,paid
order_42_0071,Customer_540,3300,2026-08-10,paid
order_42_0072,Customer_318,3850,2026-08-15,paid
order_42_0073,Customer_186,4560,2026-08-26,paid
order_42_0074,Customer_869,3890,2026-08-11,paid
order_42_0075,Customer_147,2080,2026-08-07,paid
order_42_0076,Customer_744,3620,2026-08-03,paid
order_42_0077,Customer_251,4170,2026-08-16,paid
order_42_0078,Customer_535,520,2026-08-28,paid
order_42_0079,Customer_670,4610,2026-08-17,paid
order_42_0080,Customer_709,2830.25,2026-08-22,paid
order_42_0081,Customer_661,3630,2026-08-17,paid
order_42_0082,Customer_353,4300,2026-08-15,paid
order_42_0083,Customer_550,4420,2026-08-16,paid
order_42_0084,Customer_182,1960,2026-08-11,paid
order_42_0085,Customer_524,1680,2026-08-05,paid
order_42_0086,Customer_530,3270,2026-08-02,paid
order_42_0087,Customer_460,4060.75,2026-08-13,paid
order_42_0088,Customer_865,4860,2026-08-27,paid
order_42_0089,Customer_379,4590,2026-08-08,paid
order_42_0090,Customer_269,640,2026-08-22,paid
order_42_0091,Customer_778,3680,2026-08-13,paid
order_42_0092,Customer_151,3790,2026-08-28,paid
order_42_0093,Customer_488,2170,2026-08-11,paid
order_42_0094,Customer_652,1790,2026-08-16,paid
order_42_0095,Customer_131,1640,2026-08-25,paid
order_42_0096,Customer_785,4790.5,2026-08-08,paid
order_42_0097,Customer_720,1610,2026-08-09,paid
order_42_0098,Customer_126,4170.5,2026-08-10,paid
order_42_0099,Customer_303,3960,2026-08-13,paid
order_42_0100,Customer_891,4030,2026-08-08,paid
order_42_0101,Customer_142,3570,2026-08-26,paid
order_42_0102,Customer_449,2690,2026-08-03,paid
order_42_0103,Customer_948,4710,2026-08-14,paid
order_42_0104,Customer_376,1280,2026-08-24,paid
order_42_0105,Customer_430,4460,2026-08-14,paid
order_42_0106,Customer_724,1920,2026-08-08,paid
order_42_0107,Customer_463,2220.25,2026-08-06,paid
order_42_0108,Customer_110,1930,2026-08-23,paid
order_42_0109,Customer_876,930,2026-08-14,paid
order_42_0110,Customer_117,2930,2026-08-16,paid
order_42_0111,Customer_695,1630,2026-08-08,paid
order_42_0112,Customer_460,3330,2026-08-14,paid
order_42_0113,Customer_297,1880,2026-08-08,paid
order_42_0114,Customer_321,4300,2026-08-25,paid
order_42_0115,Customer_389,1910,2026-08-25,paid
order_42_0116,Customer_825,2010,2026-08-06,paid
order_42_0117,Customer_229,1900.5,2026-08-18,paid
order_42_0118,Customer_590,1020,2026-08-19,paid
order_42_0119,Customer_941,1440,2026-08-09,paid
order_42_0120,Customer_252,3010.75,2026-08-22,paid
order_42_0121,Customer_526,930,2026-08-04,paid
order_42_0122,Customer_561,4540,2026-08-25,paid
order_42_0123,Customer_735,4900,2026-08-14,paid
order_42_0124,Customer_776,4280.5,2026-08-21,paid
order_42_0125,Customer_561,1720.5,2026-08-06,paid
order_42_0126,Customer_980,1990.25,2026-08-16,paid
order_42_0127,Customer_910,860,2026-08-16,paid
order_42_0128,Customer_217,3510,2026-08-16,paid
order_42_0129,Customer_269,1860,2026-08-05,paid
order_42_0130,Customer_549,3540,2026-08-05,paid
order_42_0131,Customer_612,2890,2026-08-05,paid
order_42_0132,Customer_356,3560.25,2026-08-03,paid
order_42_0133,Customer_121,960,2026-08-03,paid
order_42_0134,Customer_874,4700,2026-08-03,paid
order_42_0135,Customer_546,2760,2026-08-21,paid
order_42_0136,Customer_456,4660,2026-08-21,paid
order_42_0137,Customer_437,2200,2026-08-21,paid
order_42_0138,Customer_565,3890,2026-08-27,paid
order_42_0139,Customer_101,1090,2026-08-13,paid
order_42_0140,Customer_552,770.25,2026-08-20,paid
order_42_0141,Customer_129,1970,2026-08-23,paid
order_42_0142,Customer_330,2090,2026-08-18,paid
order_42_0143,Customer_379,3050,2026-08-10,paid
order_42_0144,Customer_620,2830,2026-08-13,paid
order_42_0145,Customer_619,4450,2026-08-14,paid
order_42_0146,Customer_557,4780,2026-08-22,paid
order_42_0147,Customer_990,3320,2026-08-13,paid
order_42_0148,Customer_520,4070,2026-08-13,paid
order_42_0149,Customer_779,4310,2026-08-26,paid
order_42_0150,Customer_439,3030,2026-08-05,paid
order_42_0151,Customer_115,1010,2026-08-15,paid
order_42_0152,Customer_176,4190.75,2026-08-05,paid
order_42_0153,Customer_446,2900,2026-08-09,paid
order_42_0154,Customer_182,3690,2026-08-21,paid
order_42_0155,Customer_979,4860,2026-08-22,paid
